Tarea,Descripción,Epic,Estado,Estimación,Fase,ID,MoSCoW
Setup de bucket en Cloudflare R2,Crear el bucket en Cloudflare R2. Configurar las políticas de acceso (privado por defecto). Generar las credenciales de acceso y guardarlas en .env. Probar un upload y una descarga manual con presigned URL.,Infraestructura,Done,S,Infraestructura,48,Must Have
Configurar entornos dev y prod,Definir las variables de entorno para desarrollo y producción (DB URL API keys S3 credenciales JWT secret). Nunca commitear secrets al repositorio. Usar un gestor de secrets o al menos un .env.example documentado.,Infraestructura,To Do,S,Infraestructura,49,Must Have
Deploy del frontend PWA,Deployar la PWA en Vercel o Netlify. Verificar que el Service Worker se registre correctamente en producción. Probar el modo offline en un dispositivo móvil real.,Infraestructura,To Do,M,Infraestructura,51,Must Have
Deploy del backend en servidor o plataforma cloud,Deployar el backend en Railway Render o un VPS. Configurar HTTPS con certificado SSL. Verificar que todos los endpoints respondan correctamente desde una URL pública.,Infraestructura,To Do,M,Infraestructura,50,Must Have
Setup de PostgreSQL en entorno de desarrollo,Levantar PostgreSQL localmente con Docker. Crear la base de datos del proyecto. Configurar el usuario y la contraseña en el archivo .env. Verificar que las migraciones corran sin errores.,Infraestructura,To Do,S,Infraestructura,47,Must Have
Integración con proveedor de email transaccional,Configurar Resend o SendGrid. Crear el template del email de notificación al cliente con el tracking_code y el link al portal. Probar el envío en un email real.,Infraestructura,To Do,M,Infraestructura,52,Must Have
Prueba end-to-end del flujo completo,Simular un envío completo desde el formulario del operario hasta la confirmación del cliente: crear envío → cargar fotos → validar OTP del flete → recibir email → acceder al portal → marcar conformidad. Documentar bugs encontrados.,QA,To Do,L,QA,53,Must Have
Prueba del flujo de reclamo con token visual,Simular un reclamo completo: cliente presiona reportar → recibe token → saca foto con token → sube la foto → verificar que el reclamo quede registrado correctamente en la DB.,QA,To Do,M,QA,54,Must Have
Prueba de modo offline en dispositivo real,Con la app instalada como PWA desconectar el WiFi y el datos móviles. Crear un envío completo con fotos. Verificar que los datos queden en IndexedDB. Reconectar y verificar que la sincronización se dispare y complete correctamente.,QA,To Do,L,QA,55,Must Have
crear cuenta twilio,,,,,,,
crear cuenta cloudflare,,,,,,,
acomodar el worker para q respete el filename,,,,,,,
tamaño y color de watermark,,,,,,,
Autenticación del gerente/admin (email + contraseña),El único usuario con login tradicional es el gerente. Registro y login con email + bcrypt. Genera JWT de 24 horas. Este JWT solo da acceso al panel admin no a los endpoints del operario.,,Done,M,Backend,25,Must Have
Crear tabla devices,"Crear la migración SQL para la tabla devices con campos: id, company_id (FK), operator_name, token_hash (SHA-256 del JWT), is_active (boolean), created_at y revoked_at. Registra cada dispositivo autorizado por empresa.",Base de datos,Done,S,Backend,24,Must Have
Pantalla de activación por QR,El operario no tiene usuario ni contraseña. Al abrir la app por primera vez ve la pantalla de activación. Al escanear el QR la app lee el JWT del URL y lo guarda en IndexedDB. A partir de ahí el operario está autenticado de forma permanente en ese dispositivo.,,In Progress,M,Frontend PWA,31,Must Have
Endpoint POST /admin/devices — Generar QR o Magic Link,El gerente llama a este endpoint desde el panel admin. El backend genera un JWT de 1 año con company_id y device_id. Hashea el token y lo guarda en devices con is_active=true. Devuelve el JWT para que el frontend lo encodee en un QR o lo envíe como Magic Link.,API,To Do,M,Backend,57,Must Have
Agregar tracking_token a tabla shipments,Agregar columna tracking_token (UUID v4 criptográfico) a la tabla shipments. Se genera al crear el envío y es el token que valida el acceso al portal del cliente vía Signed URL.,Base de datos,To Do,S,Backend,56,Must Have
Endpoint DELETE /admin/devices/:id — Revocar acceso,El gerente revoca el acceso de un dispositivo. El backend setea is_active=false y registra revoked_at en devices. A partir de ese momento cualquier request con ese token recibe 401 inmediatamente sin importar que el JWT sea válido.,API,To Do,S,Backend,58,Must Have
Endpoint GET /auth/activate?token=xxx — Activación del dispositivo,Recibe el JWT de activación desde el QR o Magic Link. Verifica que exista en devices y que is_active sea true. Si es válido responde 200 con datos de la empresa. El frontend guarda el token en IndexedDB y redirige al home del operario.,API,To Do,M,Backend,59,Must Have
Middleware de validación de device token,Protege todos los endpoints del operario. Extrae el JWT del header Authorization lo hashea y busca en la tabla devices. Si is_active=false responde 401 aunque el JWT sea criptográficamente válido. Registra device_id en cada request para el audit_log.,,To Do,M,Backend,60,Must Have
Panel admin — Vista de dispositivos vinculados,Pantalla en el panel del gerente con lista de dispositivos activos: nombre del operario fecha de vinculación último uso y estado. Botón de Revocar acceso por dispositivo. Botón de Vincular nuevo dispositivo que llama al endpoint de generación de QR.,,To Do,M,Frontend PWA,61,Must Have
Panel admin — Generación y visualización del QR de activación,Al hacer clic en Vincular nuevo dispositivo el panel recibe el JWT y lo convierte en un QR grande usando qrcode.js para que el operario lo escanee. También ofrece botón para copiar el Magic Link y enviarlo por WhatsApp.,,To Do,M,Frontend PWA,62,Must Have
Prueba del flujo completo de activación y revocación,Test end-to-end: gerente genera QR → operario escanea → operario crea un envío → gerente revoca el dispositivo → operario intenta crear otro envío → debe recibir 401 y ver pantalla de desactivación. Verificar que audit_log registre device_id en cada acción del operario.,QA,To Do,M,QA,65,Must Have
Guardar device token en IndexedDB al activar,Al escanear el QR la PWA llama a /auth/activate recibe confirmación y guarda el JWT en IndexedDB bajo una clave fija. En cada request posterior lo incluye en el header Authorization. Si no existe token en IndexedDB redirige a la pantalla de activación.,,To Do,M,Frontend PWA,63,Must Have
Manejo de 401 por revocación en el frontend,Si cualquier request del operario recibe 401 la app limpia el token de IndexedDB y muestra mensaje: Tu acceso fue desactivado. Pedile a tu supervisor que te genere un nuevo código de acceso. Redirige a la pantalla de activación.,,To Do,S,Frontend PWA,64,Must Have
Modelo Organization en Prisma schema,"Definir el modelo Organization en schema.prisma con campos: id (UUID), name, email (único), password_hash, created_at y updated_at. Este es el tenant raíz del sistema — todas las demás entidades (devices, shipments) tienen FK a organization_id. Ejecutar prisma migrate dev.",Base de datos,To Do,S,Backend,66,Must Have
Endpoint POST /auth/register — Registro de empresa,"Permite a una empresa crear su cuenta en Friese. Recibe name, email y password. Valida que el email no esté en uso. Hashea la contraseña con bcrypt. Crea el registro en Organization. Devuelve JWT de sesión para que el admin entre directamente al dashboard sin hacer login por separado.",API,To Do,M,Backend,67,Must Have
Notificación a la empresa tras acción del receptor,"Cuando el receptor llama a POST /confirm o POST /complaint/photo el sistema envía un email automático al admin de la empresa notificando la acción. Si es conformidad: asunto ""Envío [tracking_code] confirmado por el receptor"". Si es queja: asunto ""Reclamo recibido en envío [tracking_code]"" con descripción del daño. Reutilizar el proveedor de email transaccional ya configurado.",Notificaciones,To Do,M,Backend,68,Must Have
Panel admin — Vista de listado de envíos,"Pantalla principal del dashboard del gerente. Muestra la lista de envíos de la empresa con columnas: tracking_code, destinatario, estado actual, fecha de creación y operario que lo registró. Filtros por estado y rango de fechas. Cada fila es clickeable y navega al detalle del envío.",,To Do,L,Frontend PWA,69,Must Have
Panel admin — Vista de detalle de envío,"Pantalla de detalle de un envío individual accesible desde el listado. Muestra: datos del envío (destinatario, fletista, lote, cantidad), estado actual, fotos de evidencia con marca de agua, historial completo del audit_log con actor y timestamp, y en caso de reclamo la foto adjunta y descripción del receptor.",,To Do,L,Frontend PWA,70,Must Have
